"","formulae","accuracy"
"763","dummy.living ~ cols_with_5 + left_diagonals + nr_regions",0.8125
"1079","dummy.living ~ top2tile + nr_regions + nr_eyes",0.8125
"2","dummy.living ~ nr_pix + height + span",0.80625
"204","dummy.living ~ height + span + avg_pixel_weight",0.80625
"291","dummy.living ~ height + top2tile + left_diagonals",0.80625
"377","dummy.living ~ width + neigh1 + left_diagonals",0.80625
"380","dummy.living ~ width + neigh1 + nr_eyes",0.80625
"498","dummy.living ~ span + neigh1 + right_diagonals",0.80625
"502","dummy.living ~ span + neigh1 + avg_pixel_weight",0.80625
"586","dummy.living ~ rows_with_5 + cols_with_5 + top2tile",0.80625
"731","dummy.living ~ cols_with_5 + right2tile + avg_pixel_weight",0.80625
"743","dummy.living ~ cols_with_5 + top2tile + left_diagonals",0.80625
"781","dummy.living ~ neigh1 + neigh5 + bottom2tile",0.80625
"785","dummy.living ~ neigh1 + neigh5 + nr_regions",0.80625
"824","dummy.living ~ neigh1 + top2tile + nr_eyes",0.80625
"831","dummy.living ~ neigh1 + bottom2tile + nr_eyes",0.80625
"841","dummy.living ~ neigh1 + left_diagonals + nr_regions",0.80625
"859","dummy.living ~ neigh5 + left2tile + horizontalness",0.80625
"904","dummy.living ~ neigh5 + horizontalness + hollowness",0.80625
"1071","dummy.living ~ top2tile + left_diagonals + nr_regions",0.80625
"1092","dummy.living ~ bottom2tile + left_diagonals + nr_regions",0.80625
"1108","dummy.living ~ horizontalness + left_diagonals + nr_eyes",0.80625
"1130","dummy.living ~ left_diagonals + hollowness + avg_pixel_weight",0.80625
"342","dummy.living ~ width + rows_with_5 + neigh1",0.8
"356","dummy.living ~ width + cols_with_5 + neigh1",0.8
"711","dummy.living ~ cols_with_5 + left2tile + right2tile",0.8
"780","dummy.living ~ neigh1 + neigh5 + top2tile",0.8
"869","dummy.living ~ neigh5 + right2tile + horizontalness",0.8
"187","dummy.living ~ height + width + hollowness",0.79375
"190","dummy.living ~ height + span + cols_with_5",0.79375
"192","dummy.living ~ height + span + neigh5",0.79375
"207","dummy.living ~ height + rows_with_5 + neigh5",0.79375
"522","dummy.living ~ span + left2tile + nr_regions",0.79375
"583","dummy.living ~ rows_with_5 + cols_with_5 + left2tile",0.79375
"674","dummy.living ~ rows_with_5 + left_diagonals + hollowness",0.79375
"735","dummy.living ~ cols_with_5 + verticalness + left_diagonals",0.79375
"741","dummy.living ~ cols_with_5 + top2tile + bottom2tile",0.79375
"750","dummy.living ~ cols_with_5 + bottom2tile + left_diagonals",0.79375
"774","dummy.living ~ cols_with_5 + nr_eyes + hollowness",0.79375
"844","dummy.living ~ neigh1 + left_diagonals + avg_pixel_weight",0.79375
"901","dummy.living ~ neigh5 + horizontalness + right_diagonals",0.79375
"1128","dummy.living ~ left_diagonals + nr_eyes + hollowness",0.79375
"201","dummy.living ~ height + span + nr_regions",0.7875
"284","dummy.living ~ height + verticalness + right_diagonals",0.7875
"489","dummy.living ~ span + cols_with_5 + avg_pixel_weight",0.7875
"532","dummy.living ~ span + right2tile + nr_regions",0.7875
"588","dummy.living ~ rows_with_5 + cols_with_5 + horizontalness",0.7875
"696","dummy.living ~ cols_with_5 + neigh1 + nr_eyes",0.7875
"761","dummy.living ~ cols_with_5 + horizontalness + avg_pixel_weight",0.7875
"784","dummy.living ~ neigh1 + neigh5 + right_diagonals",0.7875
"787","dummy.living ~ neigh1 + neigh5 + hollowness",0.7875
"814","dummy.living ~ neigh1 + verticalness + right_diagonals",0.7875
"816","dummy.living ~ neigh1 + verticalness + nr_eyes",0.7875
"842","dummy.living ~ neigh1 + left_diagonals + nr_eyes",0.7875
"897","dummy.living ~ neigh5 + bottom2tile + nr_eyes",0.7875
"1100","dummy.living ~ bottom2tile + nr_regions + nr_eyes",0.7875
"175","dummy.living ~ height + width + neigh1",0.78125
"193","dummy.living ~ height + span + left2tile",0.78125
"194","dummy.living ~ height + span + right2tile",0.78125
"198","dummy.living ~ height + span + horizontalness",0.78125
"234","dummy.living ~ height + neigh1 + neigh5",0.78125
"376","dummy.living ~ width + neigh1 + horizontalness",0.78125
"382","dummy.living ~ width + neigh1 + avg_pixel_weight",0.78125
"429","dummy.living ~ width + top2tile + nr_regions",0.78125
"529","dummy.living ~ span + right2tile + horizontalness",0.78125
"549","dummy.living ~ span + top2tile + nr_regions",0.78125
"584","dummy.living ~ rows_with_5 + cols_with_5 + right2tile",0.78125
"698","dummy.living ~ cols_with_5 + neigh1 + avg_pixel_weight",0.78125
"779","dummy.living ~ neigh1 + neigh5 + verticalness",0.78125
"783","dummy.living ~ neigh1 + neigh5 + left_diagonals",0.78125
"826","dummy.living ~ neigh1 + top2tile + avg_pixel_weight",0.78125
"833","dummy.living ~ neigh1 + bottom2tile + avg_pixel_weight",0.78125
"889","dummy.living ~ neigh5 + top2tile + nr_regions",0.78125
"890","dummy.living ~ neigh5 + top2tile + nr_eyes",0.78125
"896","dummy.living ~ neigh5 + bottom2tile + nr_regions",0.78125
"902","dummy.living ~ neigh5 + horizontalness + nr_regions",0.78125
"905","dummy.living ~ neigh5 + horizontalness + avg_pixel_weight",0.78125
"988","dummy.living ~ right2tile + top2tile + right_diagonals",0.78125
"1126","dummy.living ~ left_diagonals + nr_regions + hollowness",0.78125
"1132","dummy.living ~ right_diagonals + nr_regions + hollowness",0.78125
"81","dummy.living ~ nr_pix + neigh1 + neigh5",0.775
"160","dummy.living ~ nr_pix + left_diagonals + hollowness",0.775
"189","dummy.living ~ height + span + rows_with_5",0.775
"205","dummy.living ~ height + rows_with_5 + cols_with_5",0.775
"286","dummy.living ~ height + verticalness + nr_eyes",0.775
"393","dummy.living ~ width + neigh5 + hollowness",0.775
"440","dummy.living ~ width + horizontalness + left_diagonals",0.775
"562","dummy.living ~ span + horizontalness + nr_regions",0.775
"602","dummy.living ~ rows_with_5 + neigh1 + left_diagonals",0.775
"768","dummy.living ~ cols_with_5 + right_diagonals + nr_eyes",0.775
"840","dummy.living ~ neigh1 + left_diagonals + right_diagonals",0.775
"950","dummy.living ~ left2tile + bottom2tile + right_diagonals",0.775
"995","dummy.living ~ right2tile + bottom2tile + right_diagonals",0.775
"1049","dummy.living ~ verticalness + right_diagonals + hollowness",0.775
"48","dummy.living ~ nr_pix + span + nr_regions",0.76875
"166","dummy.living ~ nr_pix + nr_regions + nr_eyes",0.76875
"255","dummy.living ~ height + neigh5 + nr_regions",0.76875
"374","dummy.living ~ width + neigh1 + top2tile",0.76875
"378","dummy.living ~ width + neigh1 + right_diagonals",0.76875
"517","dummy.living ~ span + left2tile + top2tile",0.76875
"519","dummy.living ~ span + left2tile + horizontalness",0.76875
"567","dummy.living ~ span + left_diagonals + nr_regions",0.76875
"594","dummy.living ~ rows_with_5 + cols_with_5 + avg_pixel_weight",0.76875
"736","dummy.living ~ cols_with_5 + verticalness + right_diagonals",0.76875
"755","dummy.living ~ cols_with_5 + bottom2tile + avg_pixel_weight",0.76875
"770","dummy.living ~ cols_with_5 + right_diagonals + avg_pixel_weight",0.76875
"776","dummy.living ~ cols_with_5 + hollowness + avg_pixel_weight",0.76875
"777","dummy.living ~ neigh1 + neigh5 + left2tile",0.76875
"818","dummy.living ~ neigh1 + verticalness + avg_pixel_weight",0.76875
"913","dummy.living ~ neigh5 + right_diagonals + hollowness",0.76875
"943","dummy.living ~ left2tile + top2tile + right_diagonals",0.76875
"949","dummy.living ~ left2tile + bottom2tile + left_diagonals",0.76875
